Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status,,
Run All Test Cases,Firefox 71.0,,,12/22/2019 3:27,12/22/2019 3:50,23m - 1354.466s,PASSED,,
,,,,,,,,,
Test Cases/TestCase01LoginSuccessfully,Firefox 71.0,,,12/22/2019 3:27,12/22/2019 3:28,32.907s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 3:27,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 3:27,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase02LogoutSuccessfully,Firefox 71.0,,,12/22/2019 3:28,12/22/2019 3:28,14.767s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"click(findTestObject(Object Repository/Page_Mattermost/button_Sign in""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/span""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/button_Logout""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase03LoginWrongPass,Firefox 71.0,,,12/22/2019 3:28,12/22/2019 3:28,11.575s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""4nvbrPglk7k="")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"click(findTestObject(Object Repository/Page_Mattermost/label_Enter a valid email or username andor_ef8acb""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase04CreateNewTeam,Firefox 71.0,,,12/22/2019 3:28,12/22/2019 3:29,19.285s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/button_giabeuu_style--none sidebar-header-d_0f4080""))""",Firefox 71.0,,,12/22/2019 3:28,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/a_Create a New Team""))""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
"setText(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," ""MyTeam1"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"sendKeys(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," Keys.chord(ENTER))""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"click(findTestObject(Object Repository/Page_ Town Square - FirstTeam Mattermost/button_Finish""))""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase05ChatSomeThingOnMainChannel,Firefox 71.0,,,12/22/2019 3:29,12/22/2019 3:29,14.278s,PASSED,,
"callTestCase(findTestCase(TestCase01LoginSuccessfully"")", [:]," STOP_ON_FAILURE)""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED
"openBrowser("")",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_Write to Town Square_post_textbox"")"," ""I"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I"")"," ""I "")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I_1"")"," ""I c"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I c"")"," ""I ch"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I ch"")"," ""I cha"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I cha"")"," ""I chat"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat"")"," ""I chat "")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat_1"")"," ""I chat s"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat s"")"," ""I chat so"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat so"")"," ""I chat som"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat som"")"," ""I chat some"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat some"")"," ""I chat somet"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat somet"")"," ""I chat someth"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat someth"")"," ""I chat somethi"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I chat somethi"")"," ""I chat somethin"")""",Firefox 71.0,,,12/22/2019 3:29,,,PASSED,
