Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status,,
Run All Test Cases,Firefox 71.0,,,12/22/2019 1:02,12/22/2019 1:44,42m - 2520.283s,PASSED,,
,,,,,,,,,
Test Cases/TestCase01LoginSuccessfully,Firefox 71.0,,,12/22/2019 1:02,12/22/2019 1:02,16.565s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase02LogoutSuccessfully,Firefox 71.0,,,12/22/2019 1:02,12/22/2019 1:03,18.326s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,
"click(findTestObject(Object Repository/Page_Mattermost/button_Sign in""))""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/span""))""",Firefox 71.0,,,12/22/2019 1:02,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/button_Logout""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase03LoginWrongPass,Firefox 71.0,,,12/22/2019 1:03,12/22/2019 1:03,15.754s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""4nvbrPglk7k="")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"click(findTestObject(Object Repository/Page_Mattermost/label_Enter a valid email or username andor_ef8acb""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase04CreateNewTeam,Firefox 71.0,,,12/22/2019 1:03,12/22/2019 1:03,21.276s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/button_giabeuu_style--none sidebar-header-d_0f4080""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/a_Create a New Team""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"setText(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," ""MyTeam1"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"sendKeys(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," Keys.chord(ENTER))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"click(findTestObject(Object Repository/Page_ Town Square - FirstTeam Mattermost/button_Finish""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase05ChatSomeThingOnMainChannel,Firefox 71.0,,,12/22/2019 1:03,12/22/2019 1:04,21.354s,PASSED,,
"callTestCase(findTestCase(TestCase01LoginSuccessfully"")", [:]," STOP_ON_FAILURE)""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED
"openBrowser("")",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_Write to Town Square_post_textbox"")"," ""I"")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
"setText(findTestObject(Object Repository/Page_Town Square - FirstTeam Mattermost/textarea_I"")"," ""I "")""",Firefox 71.0,,,12/22/2019 1:03,,,PASSED,
