Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status,,
Run All Test Cases,Firefox 71.0,,,12/22/2019 0:53,12/22/2019 1:23,30m - 1791.265s,PASSED,,
,,,,,,,,,
Test Cases/TestCase01LoginSuccessfully,Firefox 71.0,,,12/22/2019 0:53,12/22/2019 0:53,12.488s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase02LogoutSuccessfully,Firefox 71.0,,,12/22/2019 0:53,12/22/2019 0:54,17.285s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 0:53,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"click(findTestObject(Object Repository/Page_Mattermost/button_Sign in""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/span""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/button_Logout""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase03LoginWrongPass,Firefox 71.0,,,12/22/2019 0:54,12/22/2019 0:54,12.759s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""4nvbrPglk7k="")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"click(findTestObject(Object Repository/Page_Mattermost/label_Enter a valid email or username andor_ef8acb""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase04CreateNewTeam,Firefox 71.0,,,12/22/2019 0:54,12/22/2019 0:54,17.908s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/button_giabeuu_style--none sidebar-header-d_0f4080""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"click(findTestObject(Page_ Town Square - FirstTeam Mattermost/a_Create a New Team""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"setText(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," ""MyTeam1"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"sendKeys(findTestObject(Page_ Town Square - FirstTeam Mattermost/input_Team Name_teamNameInput"")"," Keys.chord(ENTER))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,
"click(findTestObject(Object Repository/Page_ Town Square - FirstTeam Mattermost/button_Finish""))""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase05ChatSomeThingOnMainChannel,Firefox 71.0,,,12/22/2019 0:54,12/22/2019 0:55,23.047s,PASSED,,
"callTestCase(findTestCase(TestCase01LoginSuccessfully"")", [:]," STOP_ON_FAILURE)""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED
"openBrowser("")",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/22/2019 0:54,,,PASSED,,
