Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status,,
Run All Test Cases,Firefox 71.0,,,12/21/2019 23:04,12/21/2019 23:35,32m - 1893.673s,PASSED,,
,,,,,,,,,
Test Cases/TestCase01LoginSuccessfully,Firefox 71.0,,,12/21/2019 23:04,12/21/2019 23:04,19.275s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase02LogoutSuccessfully,Firefox 71.0,,,12/21/2019 23:04,12/21/2019 23:04,24.12s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""GoUae4B8Jrc="")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,
"click(findTestObject(Object Repository/Page_Mattermost/button_Sign in""))""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/span""))""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"click(findTestObject(Object Repository/Page_Town Square - Hello Mattermost/button_Logout""))""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase03LoginWrongPass,Firefox 71.0,,,12/21/2019 23:04,12/21/2019 23:05,19.941s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"navigateToUrl(https://cs300testautomatic.herokuapp.com/"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,,
"setText(findTestObject(Page_Mattermost/input_All team communication in one place s_703ef5"")"," ""giabeuu@gmail.com"")""",Firefox 71.0,,,12/21/2019 23:04,,,PASSED,
"setEncryptedText(findTestObject(Page_Mattermost/input_All team communication in one place s_2f2733"")"," ""4nvbrPglk7k="")""",Firefox 71.0,,,12/21/2019 23:05,,,PASSED,
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Firefox 71.0,,,12/21/2019 23:05,,,PASSED,,
"click(findTestObject(Object Repository/Page_Mattermost/label_Enter a valid email or username andor_ef8acb""))""",Firefox 71.0,,,12/21/2019 23:05,,,PASSED,,
closeBrowser(),Firefox 71.0,,,12/21/2019 23:05,,,PASSED,,
,,,,,,,,,
Test Cases/TestCase04CreateNewTeam,Firefox 71.0,,,12/21/2019 23:05,12/21/2019 23:05,22.855s,PASSED,,
"openBrowser("")",Firefox 71.0,,,12/21/2019 23:05,,,PASSED,,
