Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status,,
Run all test cases Nghia,Chrome 79.0.3945.88,,,12/28/2019 12:46,12/28/2019 12:50,4m - 218.132s,FAILED,,
,,,,,,,,,
Test Cases/Account Setting/ChangeNotificationSoundOff,Chrome 79.0.3945.88,,,12/28/2019 12:46,12/28/2019 12:46,15.528s,PASSED,,
"data = findTestData(Data_In_Test_AccountSettings"")""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
for (def index : (0..(data.getRowNumbers() - 1))),Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"openBrowser("")",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"navigateToUrl(http://10.242.158.30:8065/cs300/channels/cs300_test"")""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"setText(findTestObject(Page_Mattermost-Message-And-MemberManagement/input_username"")"," data.internallyGetValue(""account"""," index))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED
"setEncryptedText(findTestObject(Page_Mattermost-Message-And-MemberManagement/input_password"")"," data.internallyGetValue(""password"""," index))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED
"click(findTestObject(Page_Mattermost/span_Sign in""))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"click(findTestObject(Page_Mattermost-AccountSetting/span""))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"click(findTestObject(Page_Mattermost-AccountSetting/button_Account Settings""))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"click(findTestObject(Page_Mattermost-AccountSetting/button_Notifications""))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"click(findTestObject(Page_Mattermost-AccountSetting/div_Desktop notifications""))""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,,
"click(findTestObject(Page_Mattermost-AccountSetting/label_Off"")"," STOP_ON_FAILURE)""",Chrome 79.0.3945.88,,,12/28/2019 12:46,,,PASSED,
