Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Run all test cases,Edge Chromium 97,,,2022-01-09 14:35:52,2022-01-09 14:51:38,15m - 46.428s,PASSED
,,,,,,,
Test Cases/Login as admin,Edge Chromium 97,,,2022-01-09 14:35:52,2022-01-09 14:36:05,12.628s,PASSED
"openBrowser("""")",Edge Chromium 97,,,2022-01-09 14:35:52,2022-01-09 14:35:58,6.097s,PASSED
"navigateToUrl(""http://localhost/"")",Edge Chromium 97,,,2022-01-09 14:35:58,2022-01-09 14:36:01,2.311s,PASSED
"click(findTestObject(""Object Repository/Page_My Moodle/a_Log in""))",Edge Chromium 97,,,2022-01-09 14:36:01,2022-01-09 14:36:02,0.942s,PASSED
"setText(findTestObject(""Object Repository/Page_My Moodle Log in to the site/input_Username_username""), ""admin"")",Edge Chromium 97,,,2022-01-09 14:36:02,2022-01-09 14:36:03,0.876s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_My Moodle Log in to the site/input_Password_password""), ""7Dxoto1EjKfQbGop/Ov+1g=="")",Edge Chromium 97,,,2022-01-09 14:36:03,2022-01-09 14:36:03,0.613s,PASSED
"click(findTestObject(""Object Repository/Page_My Moodle Log in to the site/button_Log in""))",Edge Chromium 97,,,2022-01-09 14:36:03,2022-01-09 14:36:05,1.430s,PASSED
,,,,,,,
Test Cases/Admin config file system (create respositories),Edge Chromium 97,,,2022-01-09 14:36:05,2022-01-09 14:36:56,51.203s,PASSED
"callTestCase(findTestCase(""Login as admin""), [:], STOP_ON_FAILURE)",Edge Chromium 97,,,2022-01-09 14:36:05,2022-01-09 14:36:17,11.495s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/span_Site administration""))",Edge Chromium 97,,,2022-01-09 14:36:17,2022-01-09 14:36:19,2.143s,PASSED
"navigateToUrl(""http://localhost/admin/search.php"")",Edge Chromium 97,,,2022-01-09 14:36:19,2022-01-09 14:36:19,0.395s,PASSED
"click(findTestObject(""Object Repository/Page_Moodle Administration Search/a_Plugins""))",Edge Chromium 97,,,2022-01-09 14:36:19,2022-01-09 14:36:20,0.603s,PASSED
"click(findTestObject(""Object Repository/Page_Moodle Administration Search/a_Manage repositories""))",Edge Chromium 97,,,2022-01-09 14:36:20,2022-01-09 14:36:21,0.987s,PASSED
"click(findTestObject(""Object Repository/Page_Moodle Administration Plugins Reposito_4b46d1/a_Settings""))",Edge Chromium 97,,,2022-01-09 14:36:21,2022-01-09 14:36:22,0.739s,PASSED
"click(findTestObject(""Object Repository/Page_Moodle Administration Plugins Reposito_90c615/button_Create a repository instance""))",Edge Chromium 97,,,2022-01-09 14:36:22,2022-01-09 14:36:54,32.035s,PASSED
"setText(findTestObject(""Object Repository/Page_Moodle Administration Plugins Reposito_b84f2c/input_Name_name""), ""csv"")",Edge Chromium 97,,,2022-01-09 14:36:54,2022-01-09 14:36:55,0.786s,PASSED
"click(findTestObject(""Object Repository/Page_Moodle Administration Plugins Reposito_b84f2c/input_Allow relative files_relativefiles""))",Edge Chromium 97,,,2022-01-09 14:36:55,2022-01-09 14:36:55,0.480s,PASSED
